Перемишляни, 49.4014, 24.3336
Львів, 49.8525, 24.0515
Київ, 50.4501, 30.5234
Вінниця, 49.2331, 28.4682
Дніпро, 48.45, 34.9833
Донецьк, 48.0159, 37.8028
Житомир, 50.2547, 28.6587
Одеса, 46.4694, 30.7409
Харків, 49.9935, 36.2304
Запоріжжя, 47.8388, 35.1396
Івано-Франківськ, 48.9226, 24.7111
Чернівці, 48.2921, 25.9354
Хмельницький, 49.4225, 26.9871
Черкаси, 49.4444, 32.0597
Суми, 50.9077, 34.7981
Полтава, 49.5937, 34.5407
Кропивницький, 48.5044, 32.2605
Рівне, 50.6196, 26.2514
Тернопіль, 49.5535, 25.5948
Ужгород, 48.6208, 22.2879
